MAINTENANCE_ID,ASSET_ID,MAINTENANCE_DATE,MAINTENANCE_TYPE,DESCRIPTION,TECHNICIAN,COST_USD,DOWNTIME_HOURS,OUTCOME
WO-202505-F139EA77,T-SS071-001,2025-05-20,INSPECTION,Routine inspection and oil sampling,TECH-718,1141.76,0.4,SUCCESS
WO-202505-907CF974,T-SS010-001,2025-05-21,INSPECTION,Routine inspection and oil sampling,TECH-246,1246.2,0.5,PARTIAL
WO-202505-3D9C2F09,T-SS061-001,2025-05-22,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-449,9111.26,2.65,SUCCESS
WO-202505-E362963E,T-SS016-001,2025-05-23,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-580,14609.44,7.57,SUCCESS
WO-202505-44981219,T-SS047-001,2025-05-23,REPLACEMENT,Component replacement,TECH-783,82269.83,63.57,SUCCESS
WO-202505-7B1A02B9,T-SS030-001,2025-05-25,INSPECTION,Routine inspection and oil sampling,TECH-427,1449.74,0.12,SUCCESS
WO-202505-6FA43E02,T-SS032-001,2025-05-25,REPLACEMENT,Component replacement,TECH-552,125286.27,59.08,SUCCESS
WO-202505-9D4DE9FB,T-SS028-001,2025-05-26,REPLACEMENT,Component replacement,TECH-961,137657.43,55.93,SUCCESS
WO-202505-73BCE7FB,T-SS008-001,2025-05-28,REPAIR,Corrective maintenance to address identified issues,TECH-225,37430.77,14.31,PARTIAL
WO-202505-821C76F7,T-SS093-001,2025-05-28,INSPECTION,Routine inspection and oil sampling,TECH-717,508.63,0.31,PARTIAL
WO-202505-364B7EDD,T-SS082-001,2025-05-30,INSPECTION,Routine inspection and oil sampling,TECH-807,712.4,0.15,SUCCESS
WO-202505-3CA7453F,T-SS058-001,2025-05-31,INSPECTION,Routine inspection and oil sampling,TECH-675,1550.54,0.47,SUCCESS
WO-202506-7E19A728,T-SS084-001,2025-06-01,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-322,7939.91,2.54,SUCCESS
WO-202506-975A7CA5,T-SS065-001,2025-06-02,INSPECTION,Routine inspection and oil sampling,TECH-277,1176.36,0.16,SUCCESS
WO-202506-2A5636C7,T-SS029-001,2025-06-02,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-605,12996.42,6.49,SUCCESS
WO-202506-5C6CAC8A,T-SS035-001,2025-06-03,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-432,6053.57,6.2,SUCCESS
WO-202506-585492F0,T-SS030-001,2025-06-04,INSPECTION,Routine inspection and oil sampling,TECH-122,1096.93,0.23,SUCCESS
WO-202506-52BE1B02,T-SS054-001,2025-06-04,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-940,8463.11,3.53,SUCCESS
WO-202506-09DB98D5,T-SS006-001,2025-06-05,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-910,10169.16,7.48,SUCCESS
WO-202506-3C76B629,T-SS007-001,2025-06-05,REPAIR,Corrective maintenance to address identified issues,TECH-948,46124.5,22.12,SUCCESS
WO-202506-F35B812F,T-SS034-001,2025-06-06,REPAIR,Corrective maintenance to address identified issues,TECH-480,29240.12,19.55,SUCCESS
WO-202506-B6B239BD,T-SS074-001,2025-06-07,INSPECTION,Routine inspection and oil sampling,TECH-475,1162.81,0.4,SUCCESS
WO-202506-BFE7570E,T-SS093-001,2025-06-07,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-454,8483.58,4.26,SUCCESS
WO-202506-DD0EDB86,T-SS046-001,2025-06-08,REPLACEMENT,Component replacement,TECH-950,148905.76,45.9,SUCCESS
WO-202506-9B1E5D44,T-SS050-001,2025-06-09,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-902,6993.51,5.11,SUCCESS
WO-202506-51A7E9CA,T-SS099-001,2025-06-09,REPAIR,Corrective maintenance to address identified issues,TECH-803,39284.93,22.21,SUCCESS
WO-202506-36E71455,T-SS070-001,2025-06-10,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-531,5274.6,3.21,SUCCESS
WO-202506-56208360,T-SS007-001,2025-06-11,REPLACEMENT,Component replacement,TECH-712,99372.62,33.91,SUCCESS
WO-202506-3AFCEFB1,T-SS098-001,2025-06-11,INSPECTION,Routine inspection and oil sampling,TECH-642,685.83,0.18,SUCCESS
WO-202506-D9E2A272,T-SS064-001,2025-06-11,INSPECTION,Routine inspection and oil sampling,TECH-772,1072.76,0.25,SUCCESS
WO-202506-E82924D3,T-SS036-001,2025-06-11,REPAIR,Corrective maintenance to address identified issues,TECH-147,27966.26,14.55,SUCCESS
WO-202506-1145CB8B,T-SS067-001,2025-06-14,INSPECTION,Routine inspection and oil sampling,TECH-731,1966.76,0.12,SUCCESS
WO-202506-F9C722D2,T-SS045-001,2025-06-14,REPLACEMENT,Component replacement,TECH-748,140783.35,32.54,SUCCESS
WO-202506-316AC0AC,T-SS017-001,2025-06-15,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-985,5941.49,3.68,SUCCESS
WO-202506-933D156C,T-SS027-001,2025-06-16,INSPECTION,Routine inspection and oil sampling,TECH-262,566.69,0.02,SUCCESS
WO-202506-F13797D0,T-SS003-001,2025-06-16,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-299,6507.91,6.0,SUCCESS
WO-202506-A8C61AF3,T-SS054-001,2025-06-17,INSPECTION,Routine inspection and oil sampling,TECH-460,920.98,0.18,SUCCESS
WO-202506-0A5B91D0,T-SS031-001,2025-06-18,INSPECTION,Routine inspection and oil sampling,TECH-592,533.4,0.48,SUCCESS
WO-202506-F7EE84ED,T-SS097-001,2025-06-19,INSPECTION,Routine inspection and oil sampling,TECH-780,1571.51,0.32,SUCCESS
WO-202506-667DF061,T-SS063-001,2025-06-19,REPAIR,Corrective maintenance to address identified issues,TECH-514,49513.18,17.88,SUCCESS
WO-202506-BB410AA7,T-SS053-001,2025-06-20,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-679,10593.83,3.14,SUCCESS
WO-202506-F9475C0A,T-SS046-001,2025-06-21,INSPECTION,Routine inspection and oil sampling,TECH-857,1433.96,0.31,SUCCESS
WO-202506-78ACA2D1,T-SS095-001,2025-06-22,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-643,5846.12,5.76,SUCCESS
WO-202506-EA47EB8E,T-SS000-001,2025-06-26,INSPECTION,Routine inspection and oil sampling,TECH-199,788.54,0.05,SUCCESS
WO-202506-3F0AF189,T-SS028-001,2025-06-27,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-169,14361.81,7.39,PARTIAL
WO-202506-140F6A41,T-SS026-001,2025-06-28,REPAIR,Corrective maintenance to address identified issues,TECH-191,47744.73,14.88,SUCCESS
WO-202506-0AE92E0F,T-SS001-001,2025-06-30,INSPECTION,Routine inspection and oil sampling,TECH-213,962.53,0.2,SUCCESS
WO-202507-8C7F7A7C,T-SS013-001,2025-07-01,INSPECTION,Routine inspection and oil sampling,TECH-855,1499.61,0.38,SUCCESS
WO-202507-FAF173E4,T-SS038-001,2025-07-02,INSPECTION,Routine inspection and oil sampling,TECH-536,1236.3,0.46,PARTIAL
WO-202507-40CBB210,T-SS063-001,2025-07-02,INSPECTION,Routine inspection and oil sampling,TECH-679,1400.66,0.15,SUCCESS
WO-202507-5BB6B9D1,T-SS025-001,2025-07-02,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-925,6430.96,2.14,SUCCESS
WO-202507-A95D6597,T-SS096-001,2025-07-06,INSPECTION,Routine inspection and oil sampling,TECH-337,1135.53,0.15,SUCCESS
WO-202507-05AE6E37,T-SS077-001,2025-07-06,REPAIR,Corrective maintenance to address identified issues,TECH-419,48996.53,11.97,SUCCESS
WO-202507-B4F7B496,T-SS023-001,2025-07-07,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-711,9473.06,4.63,SUCCESS
WO-202507-02079BBB,T-SS019-001,2025-07-07,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-827,14802.66,4.91,SUCCESS
WO-202507-CDB419BB,T-SS087-001,2025-07-12,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-632,14498.19,6.45,SUCCESS
WO-202507-18A5BCCF,T-SS057-001,2025-07-12,INSPECTION,Routine inspection and oil sampling,TECH-420,1238.77,0.47,SUCCESS
WO-202507-113F7BA8,T-SS055-001,2025-07-12,REPAIR,Corrective maintenance to address identified issues,TECH-852,43278.01,12.76,SUCCESS
WO-202507-0F88652E,T-SS039-001,2025-07-13,PREVENTIVE,Preventive maintenance including bushing cleaning and tap changer servicing,TECH-848,5848.24,7.83,SUCCESS
WO-202507-012B8918,T-SS047-001,2025-07-14,INSPECTION,Routine inspection and oil sampling,TECH-478,761.85,0.01,SUCCESS
